CLASSIC_SUBID,CURRENCY,UPCOMING_REBILL_TOTAL,UPCOMINGDISCOUNT
VmYZI9-VQlCSlRdQfRO9nQ,USD,9.99,0
RMSoGQeiRaKKEd-H-NJo5g,USD,6.99,0
3M5itPvZSxKvP58zKIG_-w,USD,19.99,0
7GC20x13Q86vKq_u63FGfQ,USD,19.99,0
VkoojRASS7SUa1Ylbcjxeg,EUR,9.99,0
aGymHXV4RBaLDE2w3NniDQ,EUR,9.99,0
ZzNBxtq6RJWXKO-Nqm2bkg,DKK,87.99,0
fLI2QLIBQGmZR267kdj7Bg,AUD,16.99,0
sQBNvAMIRXyrmJz37wqbrQ,EUR,9.99,0
Zjr0YaqHShWImGaLI2J0hA,AUD,16.99,0
gDJASmRyRuKWMv_heIbqeA,USD,19.99,0
aW87BJAjSQK88M8D-WmG-g,USD,19.99,0
Ynd_fYr2SO6ZWZWEFHk65A,USD,19.99,0
St8v-ou-TJ2vFFpMhSUKhQ,CAD,13.99,0
fvqylPXRRjuKQ_B-Bv2mmA,USD,19.99,0
pmCdYfKORsS3k1fxbchjwA,USD,9.99,0
v7OA7sIOSca6GJi87yBQkg,GBP,15.99,0
G6VDGWIlQ2ypC8vya6shXw,USD,19.99,0
i6mJGkGwS8iKod-p8V5_tg,USD,19.99,0
mKFPXBRiSAuo8uZ6qeif9w,USD,0.99,0
Fy_HM8xHR_yfu_K3Jp5y6A,USD,18.48,0
9GdkJAVtRGOjPYT4i12-_Q,USD,18.75,0
p9ANi5rJRxyxbBazOW3hfw,USD,18.68,0
9nkBiF9VSW6ru3lPNGzDWA,USD,19.28,0
Si3ir8aSRWah8FqQDisJOQ,USD,18.34,0
D-ITiFk-RG2frYOHkTSdPg,USD,18.68,0
A4eYBfONR_6SY3db5T4PYA,DKK,180.99,0
sBG-QWAUQgGNi8uYpudumA,USD,19.99,0
yHia47zISdqDvQ7Y4eLhUQ,USD,19.99,0
DK6sQT54TsKqMaAGuekE_Q,USD,19.99,0
9Sbf_hsMSmO6eTlja4EeIw,USD,19.99,0
cTPmI6aYSkuXfXK2fuSZ6A,USD,19.99,0
bukWL9nkRFq-B2JacIXcWA,USD,18.47,0
50YJeyUfTWmyvnUrx0vnuA,USD,19.99,0
_NfZahqVSmucnFh_RPNEtw,USD,18.68,0
ksL1l9MqTmqSZ_kIxjVM6g,USD,19.99,0
xTckPo_FRbW5LuPIwq0WbA,USD,18.6,0
8ckI06BkQTubuTv3Vdn6_Q,GBP,15.99,0
2pIhSWmmRyut1NlhHDgZzw,USD,19.99,0
_kxEwGAGTp6m6MQLSgdxcA,USD,19.99,0
5KC7Dz1-TlqC7GUidfElrw,USD,18.47,0
gGPGK9EQQ1CCYVSW_Iflow,USD,18.81,0
63JM2s8VQhayLkOAnAXwaQ,USD,19.99,0
vTqxNDiZSiKxcYxMYrIktA,USD,19.99,0
Bhryn_PATcG5XFYScAedEQ,USD,18.47,0
cGGtvvoPRreiHLehzYovUQ,USD,19.99,0
qqCYGVVpRoCSrs3GBG1wTA,USD,18.49,0
yH3UIF05TwO8trgh-8IJvA,USD,18.86,0
ERbmoEskT0iU4tlEUFpFZw,USD,18.68,0
GyGQ7abkT9GNZU8QOeZOfQ,USD,18.68,0
isiUKYrgTp2AmNfSigkjXQ,USD,19.99,0
0B-oy33PRy2QIr6g9Mmr1A,USD,19.99,0
zKRAorVbQxqcXnxuN3N7sg,EUR,15.99,0
xy9R1tXEQ-ODHAggkw5rOw,USD,19.99,0
qw-SfvLLRy2iciWxJ_bLiA,USD,18.64,0
UcvAuIJMQR2FII-y_8boTA,USD,18.75,0
Vgpt90yoRvOY23si2kNBxg,GBP,18.99,0
XQzB79FuRv-QtXzLcESKzQ,USD,19.99,0
zxc71Q02Tte5GWLek1ybLA,USD,19.99,0
CKVtH_OyRzC_eW7CNciCEw,EUR,19.99,0
FMnDiG5kQCCqTprPS7bucw,USD,18.6,0
PWpS-w3bSI6iX5iN31Pyig,USD,19.99,0
hqPBuHJxTX-AuQZpYIhb2w,USD,18.86,0
2D4lTHDkSYWNQq6NgBV1kQ,USD,18.64,0
e7NUb6TjSbScDH8vC-g3XQ,USD,19.99,0
Hy-CGSnQQpeJJy4nudZUEw,USD,19.99,0
MQpLDLsqT9WJZWv4qDnEAw,USD,19.99,0
fQVDaWHeTtCp4a0bMgmlfQ,USD,18.81,0
f-ZmiU20T428RamDSgx07A,AUD,31.99,0
rEz-U_GcTsS40d4NM5Glew,USD,19.99,0
6Z_C6tMrQbuLXgCg08xsdA,USD,18.28,0
noJmAeOZRx2DrBcjQ-sQ1g,USD,18.81,0
CYwK86GpTjuO5HqPOwcH2w,USD,19.99,0
c4uxwbOnQiipgRjfDTebOA,USD,18.68,0
izEpd4MaRnu-llo0ZnN-Cg,USD,18.66,0
B4S3ha6EQSybEsgTv42mnw,USD,19.99,0
6po97j6uQiO58Xurjx48yg,USD,19.99,0
bf_BxcwfQr-KHG6rt3zCyA,USD,19.13,0
uJ1DrNJvTZqeYi4lV27ipg,USD,19.99,0
PfZjG9faQcWY9-BVd1XuWg,USD,18.54,0
g0xb_HJSSg2sK94X_cQcyQ,USD,19.99,0
5MghQZu3SSyvpPw_Ia0qmg,USD,18.21,0
PBb_qkeRTBuWeG3V3fkdMQ,USD,18.64,0
E1g-743sTeSHs4zyPhZYYQ,GBP,17.99,0
7rUhXAGmQGK6Xix6zt48RA,USD,18.81,0
F-1axR7yTq6fFyfYdFpC_g,USD,19.99,0
ASrD-IHQTbG0HPdPtjTPBg,USD,19.99,0
B8CHesElQ4SDeGk9v87CRA,USD,9.99,0
TgvECSbRRgSMYiiWxaSdMA,GBP,20.99,0
zccx5jFfTsiW_-hL6pmRHw,USD,19.18,0
ItcfjtFrQHKTZgSOwZXmAw,USD,19.06,0
pd0jFEwsR8mDG9iQCuVG7A,USD,19.99,0
w6I44XlbT-i3jo9YTg81wQ,EUR,19.99,0
xDlzyDmHTPWa_KFnOp36Tw,USD,19.18,0
xl4rU06_SSGD3mBIoEy9iA,USD,19.99,0
fIxw--_lQBG7PZM2BZU2sQ,USD,18.36,0
KyCQFilhT4qxb6pfH0jGGg,AUD,34.99,0
JrAMjVS4RWa_HfGBoiQikQ,USD,19.99,0
rvWwGxDFTTesrN9GOHkhPg,USD,18.43,0
GoD4iFSLQ42FUFjz2YYLvw,USD,19.99,0
832Tv9sbSwCPOZ8MvGHExw,USD,18.47,0
AVZIKoumT-CCR0uN_4PINQ,USD,18.75,0
fGbCxi2lQqimNZCs1MlyGg,USD,19.99,0
HAoHuHSFS1Sc-MgkCWtujw,USD,18.86,0
YOiXqk5rSnikVz1_RlaBNQ,USD,18.73,0
k1kVRVafQdumMKPEnuoUBQ,USD,19.99,0
Ns31AAsURzyDAFQE5kt4Mw,USD,18.86,0
5Wx1Enf9TV-1IVczv9X75Q,USD,19.99,0
MybL6CI6Tf61i9zN9J-S3w,USD,19.99,0
Wm2MwF8zRHS6HWF5fFtRrg,USD,18.86,0
YyVRRFEhTBGLdrY2ZWW-eQ,USD,18.64,0
1baXiI3-QBO6pWG2UdnWXg,USD,18.86,0
ztLs92UeSzWuJBKJugWDyw,USD,19.99,0
9lZS9iAuSKqJFSjUILdrXw,EUR,21.99,0
wGjrlgScRcO2HJeL9iL8dg,USD,18.56,0
HiMvqecETdiVH7z0JfW5Rw,EUR,19.19,0
S2BbX-MdTI6f1IJcBwyeUQ,CAD,25.99,0
yv4y4q_MQkeymLEsuMOfOA,USD,18.68,0
yyO4o2NSRQWB4RKmLGYZIQ,USD,18.68,0
7iPF7vx8QCCiblciO3ZLvw,USD,19.99,0
sSMionUhShyi5ubZcYnQ9Q,USD,19.99,0
L4FqAW_kQ4uk9fbLCyAm2Q,USD,18.86,0
v193voLWSpKTS2M68BfUCw,USD,18.64,0
1ifyjEA0TkuH1q2fCIbLTQ,USD,19.99,0
nzwn5dZQSFW2PswJ-EGfaw,USD,18.73,0
N-vaUgNkSZKilJAyWDxkSQ,USD,19.99,0
172xlpZUTtOV3nB6kuIV_w,USD,19.04,0
FtuT8MwlR_2QTwuBR24fGg,USD,18.68,0
2KuBO-I7T3KKXrCDqyPcPw,USD,18.36,0
ydORk4jHS9aKeLXG5gwuZg,CAD,25.21,0
uhWD5GwxRM2EkVpBi7Q7TQ,USD,18.68,0
gyxCudmwTEq_Mb42_Rjgew,USD,19.99,0
8vBfeXg2QHWGmOaHNwpaIA,USD,19.99,0
lycY5xttTZeFphgT3VTASw,USD,18.86,0
EfmPn3unQviKp6AZMI6QCg,USD,19.99,0
wIeI8yOHSGeWmBnr-KmOog,USD,18.51,0
_Gvq_5dvTlSmAwYT8rSyww,USD,18.26,0
TqyTPMEhR-KnxupmPVB9bA,USD,18.86,0
3LnS4-hBQZaWA_3o9u7yPw,USD,19.99,0
csNuKuACSXeB5_kDdRi1xA,USD,18.86,0
KKnt5zc_RaOFDyPPUTkXXQ,USD,19.99,0
tMh7EX-vSS6nYwe9VSGqOw,USD,18.47,0
frp23hqQSgy3B0eVm4RvaQ,USD,18.64,0
E0JU7P-fTROQCqEeCH_LRA,USD,19.99,0
lt69CQIfQcGyf-FgVi64qQ,USD,19.99,0
q3ehuwIRTUqsl4lCdBQXDg,USD,19.99,0
wAgRpsHEQemBD4xkRDHPzA,USD,18.81,0
8tzQkox1RPqiAlZBr08y1Q,USD,18.68,0
8KTe7j25Rz2OZZApyx9SQA,USD,19.18,0
_vUugUWSQROfZFoWygCZAw,USD,19.99,0
Oc1zff8HS2GXCRcZ7GoLNg,USD,19.99,0
7_vHWPhJQLqszSszo10Xxg,USD,19.99,0
Yl9G2nznTO6vz_kEWIKIZQ,USD,19.99,0
Q1Pb0slZREif0OkxDDhBPQ,USD,19.99,0
LBTXSp3gTvacECKO6YgJXQ,USD,9.99,0
Msej8BoETYCfMeH5JZusuQ,USD,9.99,0
yiaGVc7UTdidvdDpY_LczQ,USD,18.86,0
6UQPtmgzTEewIx_9RpMv8g,USD,19.99,0
DATXTwiBT8GNikIdR8jehA,USD,19.99,0
FWvKyqMnSCmbFD_UJ1dzRw,USD,18.75,0
