SubscriptionId,RepricedUnitPrice,RepriceSubtotal,RepriceOverrideDiscount,"Initial Currency","Initial Price"
VmYZI9-VQlCSlRdQfRO9nQ,29.99,29.99,0.00,USD,9.99
RMSoGQeiRaKKEd-H-NJo5g,29.99,29.99,0.00,USD,6.99
3M5itPvZSxKvP58zKIG_-w,29.99,29.99,0.00,USD,19.99
7GC20x13Q86vKq_u63FGfQ,29.99,29.99,0.00,USD,19.99
VkoojRASS7SUa1Ylbcjxeg,26.991,26.991,0.00,EUR,9.99
aGymHXV4RBaLDE2w3NniDQ,26.991,26.991,0.00,EUR,9.99
ZzNBxtq6RJWXKO-Nqm2bkg,202.4325,202.4325,0.00,DKK,87.99
fLI2QLIBQGmZR267kdj7Bg,44.6851,44.6851,0.00,AUD,16.99
sQBNvAMIRXyrmJz37wqbrQ,26.991,26.991,0.00,EUR,9.99
Zjr0YaqHShWImGaLI2J0hA,44.6851,44.6851,0.00,AUD,16.99
gDJASmRyRuKWMv_heIbqeA,29.99,29.99,0.00,USD,19.99
aW87BJAjSQK88M8D-WmG-g,29.99,29.99,0.00,USD,19.99
Ynd_fYr2SO6ZWZWEFHk65A,29.99,29.99,0.00,USD,19.99
St8v-ou-TJ2vFFpMhSUKhQ,40.7864,40.7864,0.00,CAD,13.99
fvqylPXRRjuKQ_B-Bv2mmA,29.99,29.99,0.00,USD,19.99
pmCdYfKORsS3k1fxbchjwA,29.99,29.99,0.00,USD,9.99
v7OA7sIOSca6GJi87yBQkg,22.7924,22.7924,0.00,GBP,15.99
G6VDGWIlQ2ypC8vya6shXw,29.99,29.99,0.00,USD,19.99
i6mJGkGwS8iKod-p8V5_tg,29.99,29.99,0.00,USD,19.99
mKFPXBRiSAuo8uZ6qeif9w,29.99,29.99,0.00,USD,0.99
Fy_HM8xHR_yfu_K3Jp5y6A,29.99,29.99,0.00,USD,18.48
9GdkJAVtRGOjPYT4i12-_Q,29.99,29.99,0.00,USD,18.75
p9ANi5rJRxyxbBazOW3hfw,29.99,29.99,0.00,USD,18.68
9nkBiF9VSW6ru3lPNGzDWA,29.99,29.99,0.00,USD,19.28
Si3ir8aSRWah8FqQDisJOQ,29.99,29.99,0.00,USD,18.34
D-ITiFk-RG2frYOHkTSdPg,29.99,29.99,0.00,USD,18.68
A4eYBfONR_6SY3db5T4PYA,202.4325,202.4325,0.00,DKK,180.99
sBG-QWAUQgGNi8uYpudumA,29.99,29.99,0.00,USD,19.99
yHia47zISdqDvQ7Y4eLhUQ,29.99,29.99,0.00,USD,19.99
DK6sQT54TsKqMaAGuekE_Q,29.99,29.99,0.00,USD,19.99
9Sbf_hsMSmO6eTlja4EeIw,29.99,29.99,0.00,USD,19.99
cTPmI6aYSkuXfXK2fuSZ6A,29.99,29.99,0.00,USD,19.99
bukWL9nkRFq-B2JacIXcWA,29.99,29.99,0.00,USD,18.47
50YJeyUfTWmyvnUrx0vnuA,29.99,29.99,0.00,USD,19.99
_NfZahqVSmucnFh_RPNEtw,29.99,29.99,0.00,USD,18.68
ksL1l9MqTmqSZ_kIxjVM6g,29.99,29.99,0.00,USD,19.99
xTckPo_FRbW5LuPIwq0WbA,29.99,29.99,0.00,USD,18.6
8ckI06BkQTubuTv3Vdn6_Q,22.7924,22.7924,0.00,GBP,15.99
2pIhSWmmRyut1NlhHDgZzw,29.99,29.99,0.00,USD,19.99
_kxEwGAGTp6m6MQLSgdxcA,29.99,29.99,0.00,USD,19.99
5KC7Dz1-TlqC7GUidfElrw,29.99,29.99,0.00,USD,18.47
gGPGK9EQQ1CCYVSW_Iflow,29.99,29.99,0.00,USD,18.81
63JM2s8VQhayLkOAnAXwaQ,29.99,29.99,0.00,USD,19.99
vTqxNDiZSiKxcYxMYrIktA,29.99,29.99,0.00,USD,19.99
Bhryn_PATcG5XFYScAedEQ,29.99,29.99,0.00,USD,18.47
cGGtvvoPRreiHLehzYovUQ,29.99,29.99,0.00,USD,19.99
qqCYGVVpRoCSrs3GBG1wTA,29.99,29.99,0.00,USD,18.49
yH3UIF05TwO8trgh-8IJvA,29.99,29.99,0.00,USD,18.86
ERbmoEskT0iU4tlEUFpFZw,29.99,29.99,0.00,USD,18.68
GyGQ7abkT9GNZU8QOeZOfQ,29.99,29.99,0.00,USD,18.68
isiUKYrgTp2AmNfSigkjXQ,29.99,29.99,0.00,USD,19.99
0B-oy33PRy2QIr6g9Mmr1A,29.99,29.99,0.00,USD,19.99
zKRAorVbQxqcXnxuN3N7sg,26.991,26.991,0.00,EUR,15.99
xy9R1tXEQ-ODHAggkw5rOw,29.99,29.99,0.00,USD,19.99
qw-SfvLLRy2iciWxJ_bLiA,29.99,29.99,0.00,USD,18.64
UcvAuIJMQR2FII-y_8boTA,29.99,29.99,0.00,USD,18.75
Vgpt90yoRvOY23si2kNBxg,22.7924,22.7924,0.00,GBP,18.99
XQzB79FuRv-QtXzLcESKzQ,29.99,29.99,0.00,USD,19.99
zxc71Q02Tte5GWLek1ybLA,29.99,29.99,0.00,USD,19.99
CKVtH_OyRzC_eW7CNciCEw,26.991,26.991,0.00,EUR,19.99
FMnDiG5kQCCqTprPS7bucw,29.99,29.99,0.00,USD,18.6
PWpS-w3bSI6iX5iN31Pyig,29.99,29.99,0.00,USD,19.99
hqPBuHJxTX-AuQZpYIhb2w,29.99,29.99,0.00,USD,18.86
2D4lTHDkSYWNQq6NgBV1kQ,29.99,29.99,0.00,USD,18.64
e7NUb6TjSbScDH8vC-g3XQ,29.99,29.99,0.00,USD,19.99
Hy-CGSnQQpeJJy4nudZUEw,29.99,29.99,0.00,USD,19.99
MQpLDLsqT9WJZWv4qDnEAw,29.99,29.99,0.00,USD,19.99
fQVDaWHeTtCp4a0bMgmlfQ,29.99,29.99,0.00,USD,18.81
f-ZmiU20T428RamDSgx07A,44.6851,44.6851,0.00,AUD,31.99
rEz-U_GcTsS40d4NM5Glew,29.99,29.99,0.00,USD,19.99
6Z_C6tMrQbuLXgCg08xsdA,29.99,29.99,0.00,USD,18.28
noJmAeOZRx2DrBcjQ-sQ1g,29.99,29.99,0.00,USD,18.81
CYwK86GpTjuO5HqPOwcH2w,29.99,29.99,0.00,USD,19.99
c4uxwbOnQiipgRjfDTebOA,29.99,29.99,0.00,USD,18.68
izEpd4MaRnu-llo0ZnN-Cg,29.99,29.99,0.00,USD,18.66
B4S3ha6EQSybEsgTv42mnw,29.99,29.99,0.00,USD,19.99
6po97j6uQiO58Xurjx48yg,29.99,29.99,0.00,USD,19.99
bf_BxcwfQr-KHG6rt3zCyA,29.99,29.99,0.00,USD,19.13
uJ1DrNJvTZqeYi4lV27ipg,29.99,29.99,0.00,USD,19.99
PfZjG9faQcWY9-BVd1XuWg,29.99,29.99,0.00,USD,18.54
g0xb_HJSSg2sK94X_cQcyQ,29.99,29.99,0.00,USD,19.99
5MghQZu3SSyvpPw_Ia0qmg,29.99,29.99,0.00,USD,18.21
PBb_qkeRTBuWeG3V3fkdMQ,29.99,29.99,0.00,USD,18.64
E1g-743sTeSHs4zyPhZYYQ,22.7924,22.7924,0.00,GBP,17.99
7rUhXAGmQGK6Xix6zt48RA,29.99,29.99,0.00,USD,18.81
F-1axR7yTq6fFyfYdFpC_g,29.99,29.99,0.00,USD,19.99
ASrD-IHQTbG0HPdPtjTPBg,29.99,29.99,0.00,USD,19.99
B8CHesElQ4SDeGk9v87CRA,29.99,29.99,0.00,USD,9.99
TgvECSbRRgSMYiiWxaSdMA,22.7924,22.7924,0.00,GBP,20.99
zccx5jFfTsiW_-hL6pmRHw,29.99,29.99,0.00,USD,19.18
ItcfjtFrQHKTZgSOwZXmAw,29.99,29.99,0.00,USD,19.06
pd0jFEwsR8mDG9iQCuVG7A,29.99,29.99,0.00,USD,19.99
w6I44XlbT-i3jo9YTg81wQ,26.991,26.991,0.00,EUR,19.99
xDlzyDmHTPWa_KFnOp36Tw,29.99,29.99,0.00,USD,19.18
